id,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,15715707.0,P'eng,685.0,France,Female,31.0,4.0,152582.2,1.0,1.0,1.0,130795.52,0.0
1,15651022.0,Ch'ien,590.0,France,Male,43.0,2.0,0.0,2.0,1.0,0.0,96929.24,0.0
2,15589969.0,Yeh,588.0,France,Male,31.0,10.0,0.0,2.0,1.0,1.0,177896.92,0.0
3,15618661.0,Ch'ien,593.0,Spain,Male,37.0,9.0,0.0,2.0,1.0,0.0,53817.23,0.0
4,15771580.0,Nweke,730.0,France,Female,52.0,8.0,0.0,1.0,1.0,0.0,1276.87,1.0
5,15598838.0,Hao,763.0,France,Female,34.0,4.0,0.0,2.0,1.0,0.0,173511.72,0.0
6,15631871.0,Hsia,628.0,France,Male,29.0,7.0,0.0,2.0,0.0,0.0,180934.67,0.0
7,15761783.0,Chukwudi,684.0,France,Male,36.0,5.0,0.0,2.0,0.0,1.0,67611.36,0.0
8,15732334.0,Teng,619.0,France,Female,47.0,8.0,0.0,3.0,0.0,1.0,166370.81,1.0
9,15798945.0,Onyinyechukwuka,676.0,France,Female,37.0,4.0,0.0,2.0,1.0,1.0,74838.64,0.0
10,15621685.0,Nkemjika,636.0,Germany,Female,38.0,2.0,174852.89,2.0,1.0,1.0,158527.56,0.0
11,15689612.0,Whitehouse,554.0,France,Female,31.0,2.0,84560.04,1.0,1.0,0.0,93835.64,0.0
12,15599090.0,Chiang,730.0,France,Female,38.0,3.0,121729.43,1.0,1.0,0.0,60907.49,0.0
13,15696859.0,Ch'eng,679.0,Germany,Female,56.0,4.0,133537.1,1.0,0.0,0.0,181928.25,1.0
14,15615016.0,Ch'iu,627.0,France,Female,43.0,6.0,0.0,1.0,1.0,0.0,162697.93,1.0
15,15690540.0,Chinomso,752.0,Germany,Male,31.0,6.0,92467.58,2.0,1.0,1.0,125986.48,0.0
16,15749947.0,Ts'ui,596.0,France,Male,33.0,5.0,122570.69,2.0,1.0,0.0,143739.38,0.0
17,15567114.0,Rippey,646.0,France,Male,39.0,2.0,161591.11,1.0,1.0,0.0,79633.38,0.0
18,15641794.0,Uchenna,595.0,France,Female,34.0,4.0,107786.47,1.0,1.0,1.0,104072.53,0.0
19,15807961.0,Chinomso,653.0,France,Female,32.0,2.0,0.0,2.0,1.0,0.0,145558.52,0.0
20,15672016.0,Chin,710.0,France,Male,47.0,4.0,0.0,2.0,1.0,0.0,90174.83,0.0
21,15780561.0,Hsiung,756.0,Spain,Male,32.0,1.0,0.0,2.0,1.0,1.0,105898.69,0.0
22,15770309.0,Ch'ang,576.0,France,Male,35.0,3.0,101247.06,1.0,0.0,1.0,85421.48,0.0
23,15775293.0,Y?,542.0,France,Female,51.0,0.0,0.0,2.0,1.0,1.0,170518.83,0.0
24,15790750.0,Pinto,743.0,Spain,Female,31.0,10.0,0.0,1.0,1.0,1.0,125518.32,0.0
25,15590828.0,Ch'iu,635.0,France,Female,34.0,6.0,0.0,2.0,1.0,0.0,150548.5,0.0
26,15687079.0,Lettiere,681.0,France,Female,42.0,5.0,109974.01,1.0,1.0,1.0,53534.8,0.0
27,15785899.0,Onwuamaegbu,564.0,Spain,Male,40.0,6.0,137262.71,1.0,0.0,1.0,121541.51,0.0
28,15651336.0,Genovese,619.0,Spain,Male,37.0,1.0,0.0,2.0,1.0,1.0,165562.84,0.0
29,15581332.0,Mazzanti,662.0,France,Male,37.0,7.0,132865.56,2.0,1.0,0.0,133692.88,0.0
30,15689425.0,Eluemuno,542.0,Germany,Female,48.0,6.0,123870.07,1.0,0.0,1.0,146720.98,1.0
31,15759067.0,Folliero,577.0,France,Male,25.0,9.0,0.0,2.0,1.0,1.0,51554.58,0.0
32,15657771.0,Ch'ien,590.0,France,Male,34.0,2.0,0.0,2.0,1.0,1.0,106761.47,0.0
33,15591433.0,Mancini,597.0,France,Female,36.0,6.0,121626.9,1.0,1.0,1.0,126675.62,0.0
34,15585853.0,Chukwudi,613.0,Germany,Male,46.0,5.0,113635.43,1.0,1.0,0.0,66580.13,1.0
35,15594878.0,Iloerika,683.0,France,Female,33.0,3.0,0.0,2.0,0.0,1.0,149043.78,0.0
36,15611800.0,Eluemuno,673.0,France,Female,66.0,6.0,0.0,2.0,0.0,1.0,60907.49,0.0
37,15595883.0,H?,733.0,France,Male,33.0,6.0,90413.12,1.0,1.0,1.0,103970.58,0.0
38,15668958.0,Ritchie,683.0,France,Female,30.0,3.0,0.0,2.0,1.0,0.0,152698.24,0.0
39,15739972.0,Onyemauchechukwu,757.0,Spain,Male,36.0,6.0,0.0,2.0,0.0,0.0,91055.46,0.0
40,15669169.0,Martin,815.0,Germany,Female,55.0,4.0,122384.22,3.0,0.0,0.0,69381.05,1.0
41,15757434.0,Chukwudi,545.0,France,Female,37.0,8.0,139422.35,1.0,0.0,0.0,116885.63,0.0
42,15652030.0,Hsiung,632.0,France,Female,56.0,7.0,0.0,2.0,1.0,0.0,170893.85,1.0
43,15681075.0,Ch'ien,505.0,Germany,Male,33.0,8.0,100954.88,2.0,1.0,0.0,1408.68,1.0
